id,created_at,user_id,screen_name,text
1070350798591266818,2018-12-05 16:14:51,898563251016880129,AssetScienceLLC,b'Apple will replace glitchy iPhone X touchscreens for free by @raywongy for @mashable https://t.co/rafBkMiWDV #apple\xe2\x80\xa6 https://t.co/cdr1YqaKEf'
1070350333765935112,2018-12-05 16:13:00,1004795817608261634,opeyemiajao53,b'RT @bravocasesng: Glow in the dark Black Panther case available for iPhone X! \n\nJUST 1 LEFT!!! KINDLY RT\xe2\x9d\xa4\n\n#iphonecases #iphonex #iphoneXca\xe2\x80\xa6'
1070350268833898497,2018-12-05 16:12:44,3033271716,adielevihr,b'RT @thegraphicone: #BanditoTour lockscreens thread\n\nStandard and iPhoneX sizes \n\nNone of these would be possible without the great photos b\xe2\x80\xa6'
1070350194724618240,2018-12-05 16:12:27,1065474822321238016,MaryJes16945605,b'Get $1000 Free iphone x \nhttps://t.co/crawJ91SX3 https://t.co/aVncwIteyu'
1070349734827589632,2018-12-05 16:10:37,1065474822321238016,MaryJes16945605,b'Win $1000 iphone X\n\nhttps://t.co/crawJ91SX3 https://t.co/U1Dejbjr6B'
1070349554741116929,2018-12-05 16:09:54,1069019306,Flumchuc,b'RT @bravocasesng: Glow in the dark Black Panther case available for iPhone X! \n\nJUST 1 LEFT!!! KINDLY RT\xe2\x9d\xa4\n\n#iphonecases #iphonex #iphoneXca\xe2\x80\xa6'
1070349389955244032,2018-12-05 16:09:15,872144468044115968,realcasepeace,b'3D Minnie Mickey Mouse Phone Case iPhone 5 5s 6 6s 6S Plus 7 8 Plus X\n@realcasepeace\nhttps://t.co/OP0arevKiM\nBuy no\xe2\x80\xa6 https://t.co/6WnlEeSyH6'
1070349305079304197,2018-12-05 16:08:55,125535132,WriterRagazza,"b'Is it just me, or does the iPhone X slide off everything like its trying to break \xf0\x9f\xa4\x94 #iPhoneX #AlreadyHasCracks\xe2\x80\xa6 https://t.co/dG6HpMQcOH'"
1070348884965289984,2018-12-05 16:07:14,786671438858219520,bravocasesng,b'Glow in the dark Black Panther case available for iPhone X! \n\nJUST 1 LEFT!!! KINDLY RT\xe2\x9d\xa4\n\n#iphonecases #iphonex\xe2\x80\xa6 https://t.co/OC1vfLgUmg'
1070348737703239681,2018-12-05 16:06:39,1069002673771429888,BaseusUK,"b""Phone cases don't have to be boring and bland. They can be #sexy #shimmering #stylish and make you stand out from t\xe2\x80\xa6 https://t.co/e25qggYFGw"""
1070347958510673921,2018-12-05 16:03:34,180086491,fkbollybrothers,b'Hello my beautiful world... let the evenings be like this. #istanbul #turkey #teambollybrothers #colorsplash\xe2\x80\xa6 https://t.co/dWrAl4HNEX'
1070347430430797825,2018-12-05 16:01:28,471140735,WilcoxandCarter,b'#disneyfans this is the perfect #christmasgift for you - #mickey #face #smartphone #case with bumper for #iphone7 /\xe2\x80\xa6 https://t.co/XVhi85chyJ'
